 name  subgroup  row  col  crate  neighbor_crate
 G269         2   16    5      6              -1
 G270         2   16    6      6              -1
 G271         4   21    1      0              -1
 G272         4   21    2      0              -1
 G273         4   21    3      0              -1
 G274         4   21    4      0              -1
 G275         4   21    5      0              -1
 G276         4   21    6      0              -1
 G295         2   15    1      6              -1
 G296         2   15    2      6              -1
 G297         2   15    3      6              -1
 G298         2   15    4      6              -1
 G299         2   15    5      6              -1
 G300         2   15    6      6              -1
 G301         4   20    1      0              -1
 G302         4   20    2      0              -1
 G303         4   20    3      0              -1
 G304         4   20    4      0              -1
 G305         4   20    5      0              -1
 G306         4   20    6      0              -1
 G325         2   14    1      6              -1
 G326         2   14    2      6              -1
 G327         2   14    3      6              -1
 G328         2   14    4      6              -1
 G329         2   14    5      6              -1
 G330         2   14    6      6              -1
 G331         4   19    1      0              -1
 G332         4   19    2      0              -1
 G333         4   19    3      0              -1
 G334         4   19    4      0              -1
 G335         4   19    5      0              -1
 G336         4   19    6      0              -1
 G355         2   13    1      6              -1
 G356         2   13    2      6              -1
 G357         2   13    3      6              -1
 G358         2   13    4      6              -1
 G359         2   13    5      6              -1
 G360         2   13    6      6              -1
 G361         4   18    1      0              -1
 G362         4   18    2      0              -1
 G363         4   18    3      0              -1
 G364         4   18    4      0              -1
 G365         4   18    5      0              -1
 G366         4   18    6      0              -1
 G385         2   12    1      6              -1
 G386         2   12    2      6              -1
 G387         2   12    3      6              -1
 G388         2   12    4      6              -1
 G389         2   12    5      6              -1
 G390         2   12    6      6              -1
 G391         4   17    1      0              -1
 G392         4   17    2      0              -1
 G393         4   17    3      0              -1
 G394         4   17    4      0              -1
 G395         4   17    5      0              -1
 G396         4   17    6      0              -1
 G415         2   11    1      6              -1
 G416         2   11    2      6              -1
 G417         2   11    3      6              -1
 G418         2   11    4      6              -1
 G419         2   11    5      6              -1
 G420         2   11    6      6              -1
 G421         4   16    1      0              -1
 G422         4   16    2      0              -1
 G423         4   16    3      0              -1
 G424         4   16    4      0              -1
 G425         4   16    5      0              -1
 G426         4   16    6      0              -1
 G445         2   10    1      6              -1
 G446         2   10    2      6              -1
 G447         2   10    3      6              -1
 G448         2   10    4      6              -1
 G449         2   10    5      6              -1
 G450         2   10    6      6              -1
 G451         4   15    1      0              -1
 G452         4   15    2      0              -1
 G453         4   15    3      0              -1
 G454         4   15    4      0              -1
 G455         4   15    5      0              -1
 G456         4   15    6      0              -1
 G475         2    9    1      6              -1
 G476         2    9    2      6              -1
 G477         2    9    3      6              -1
 G478         2    9    4      6              -1
 G479         2    9    5      6              -1
 G480         2    9    6      6              -1
 G481         4   14    1      0              -1
 G482         4   14    2      0              -1
 G483         4   14    3      0              -1
 G484         4   14    4      0              -1
 G485         4   14    5      0              -1
 G486         4   14    6      0              -1
 G505         2    8    1      6              -1
 G506         2    8    2      6              -1
 G507         2    8    3      6              -1
 G508         2    8    4      6              -1
 G509         2    8    5      6              -1
 G510         2    8    6      6              -1
 G511         4   13    1      0              -1
 G512         4   13    2      0              -1
 G513         4   13    3      0              -1
 G514         4   13    4      0              -1
 G515         4   13    5      0              -1
 G516         4   13    6      0              -1
 G535         2    7    1      6              -1
 G536         2    7    2      6              -1
 G537         2    7    3      6              -1
