 name  crate  slot  channel  VPCB.board  VPCB.connector  cable.board  sub.label  group.label  cable.number  pin.number  link_to_crate  link_slot  link_channel
 W273      0     4        7           9              52          9.0        3.0          0.0          15.0        18.0             -1         -1            -1
 W274      0     4        8           9              53          9.0        3.0          0.0          16.0        17.0              1          0             9
 W239      0     4        9           9              46          9.0        3.0          0.0          21.0        12.0             -1         -1            -1
 W240      0     4       10           9              47          9.0        3.0          0.0          22.0        11.0              1          0             8
 W545      0     4       11           9              88          9.0        5.0          0.0           1.0        32.0             -1         -1            -1
 W546      0     4       12           9              89          9.0        5.0          0.0           2.0        31.0              1          0            17
 W512      0     4       13           9              86          9.0        5.0          0.0           3.0        30.0              1          0            16
 W511      0     4       14           9              85          9.0        5.0          0.0           6.0        27.0             -1         -1            -1
 W477      0     4       15           9              82          9.0        5.0          0.0           7.0        26.0             -1         -1            -1
 W478      0     5        0           9              83          9.0        5.0          0.0           8.0        25.0              1          0            15
 W444      0     5        1           9              80          9.0        5.0          0.0           9.0        24.0              1          0            14
 W443      0     5        2           9              79          9.0        5.0          0.0          12.0        21.0             -1         -1            -1
 W409      0     5        3           9              76          9.0        5.0          0.0          13.0        20.0             -1         -1            -1
 W410      0     5        4           9              77          9.0        5.0          0.0          14.0        19.0              1          0            13
 W375      0     5        5           9              70          9.0        5.0          0.0          19.0        14.0             -1         -1            -1
 W376      0     5        6           9              71          9.0        5.0          0.0          20.0        13.0              1          0            12
 W341      0     5        7           9              64          9.0        5.0          0.0          25.0         8.0             -1         -1            -1
 W342      0     5        8           9              65          9.0        5.0          0.0          26.0         7.0              1          0            11
 W307      0     5        9           9              58          9.0        5.0          0.0          31.0         2.0             -1         -1            -1
 W308      0     5       10           9              59          9.0        5.0          0.0          32.0         1.0              1          0            10
 G152      0     5       11          10              32         10.0        1.0          0.0           1.0        32.0             -1         -1            -1
 G151      0     5       12          10              31         10.0        1.0          0.0           2.0        31.0             -1         -1            -1
 G125      0     5       13          10              29         10.0        1.0          0.0           4.0        29.0              1          1             8
 G124      0     5       14          10              28         10.0        1.0          0.0           5.0        28.0             -1         -1            -1
 G123      0     5       15          10              27         10.0        1.0          0.0           6.0        27.0             -1         -1            -1
 G122      0     6        0          10              26         10.0        1.0          0.0           7.0        26.0             -1         -1            -1
 G121      0     6        1          10              25         10.0        1.0          0.0           8.0        25.0             -1         -1            -1
  G95      0     6        2          10              23         10.0        1.0          0.0          10.0        23.0              1          1             7
  G94      0     6        3          10              22         10.0        1.0          0.0          11.0        22.0             -1         -1            -1
  G93      0     6        4          10              21         10.0        1.0          0.0          12.0        21.0             -1         -1            -1
  G92      0     6        5          10              20         10.0        1.0          0.0          13.0        20.0             -1         -1            -1
  G91      0     6        6          10              19         10.0        1.0          0.0          14.0        19.0             -1         -1            -1
  G65      0     6        7          10              17         10.0        1.0          0.0          16.0        17.0              1          1             6
  G64      0     6        8          10              16         10.0        1.0          0.0          17.0        16.0             -1         -1            -1
  G63      0     6        9          10              15         10.0        1.0          0.0          18.0        15.0             -1         -1            -1
  G62      0     6       10          10              14         10.0        1.0          0.0          19.0        14.0             -1         -1            -1
  G61      0     6       11          10              13         10.0        1.0          0.0          20.0        13.0             -1         -1            -1
  G35      0     6       12          10              11         10.0        1.0          0.0          22.0        11.0              1          1             5
  G34      0     6       13          10              10         10.0        1.0          0.0          23.0        10.0             -1         -1            -1
  G33      0     6       14          10               9         10.0        1.0          0.0          24.0         9.0             -1         -1            -1
  G32      0     6       15          10               8         10.0        1.0          0.0          25.0         8.0             -1         -1            -1
  G31      0     7        0          10               7         10.0        1.0          0.0          26.0         7.0             -1         -1            -1
   G5      0     7        1          10               5         10.0        1.0          0.0          28.0         5.0              1          1             4
   G4      0     7        2          10               4         10.0        1.0          0.0          29.0         4.0             -1         -1            -1
   G3      0     7        3          10               3         10.0        1.0          0.0          30.0         3.0             -1         -1            -1
   G2      0     7        4          10               2         10.0        1.0          0.0          31.0         2.0             -1         -1            -1
   G1      0     7        5          10               1         10.0        1.0          0.0          32.0         1.0             -1         -1            -1
 G181      0     7        6          10              37         10.0        3.0          0.0           1.0         5.0             -1         -1            -1
 G155      0     7        7          10              35         10.0        3.0          0.0           3.0         3.0              1          1             9
 G154      0     7        8          10              34         10.0        3.0          0.0           4.0         2.0             -1         -1            -1
 G153      0     7        9          10              33         10.0        3.0          0.0           5.0         1.0             -1         -1            -1
 G274      0     7       10          10              58         10.0        3.0          0.0           7.0        26.0             -1         -1            -1
 G273      0     7       11          10              57         10.0        3.0          0.0           8.0        25.0             -1         -1            -1
 G272      0     7       12          10              56         10.0        3.0          0.0           9.0        24.0             -1         -1            -1
 G271      0     7       13          10              55         10.0        3.0          0.0          10.0        23.0             -1         -1            -1
 G246      0     7       14          10              54         10.0        3.0          0.0          11.0        22.0             -1         -1            -1
 G245      0     7       15          10              53         10.0        3.0          0.0          12.0        21.0             -1         -1            -1
 G244      0     8        0          10              52         10.0        3.0          0.0          13.0        20.0             -1         -1            -1
 G243      0     8        1          10              51         10.0        3.0          0.0          14.0        19.0             -1         -1            -1
 G242      0     8        2          10              50         10.0        3.0          0.0          15.0        18.0             -1         -1            -1
 G241      0     8        3          10              49         10.0        3.0          0.0          16.0        17.0             -1         -1            -1
 G216      0     8        4          10              48         10.0        3.0          0.0          17.0        16.0             -1         -1            -1
 G215      0     8        5          10              47         10.0        3.0          0.0          18.0        15.0             -1         -1            -1
